Psychology,psych; 
Physics ,phys; physic
Neuroscience and Behavior,NS&B;nsandb;ns+b; neuroscience; behavior
Molecular Biology and Biochemistry,MB&B; mbandb;mb+b; molecular biology; molecular; biochemistry
Mathematics,Math; Mathematical; Mathematic
Earth and Environmental Studies,E&Es; eandes; e+es; Earth; Environment; Environmental Studies; Earth and Environment
Computer Science,CS; comp sci; computer; comp; computational studies; programming; coding; programmer
College of Integrative Sciences,Integrative Science; College of Integrative Science; College Interactive Sciences; Integrative; CIS
Chemistry,chem; 
Biology,BIOL; bio; biol
Astronomy,Astronomist; Astro; ASTR; Ast; Astrology
American Studies,AMST; American Study; Americans Studies
Anthropology,Anth; anthro; anthopologist
College of Social Sciences,CSS; College of Social Science
Economics,econ
Government,govt; gov; govern
History,Hist; His
Philosophy,Phil; philosopher
Religion,Reli; Rel
sociology,Soc; socio
Arabic,Arab
Art History,ARHA; arh; art hist; arhi
Art Studio,Studio Arts; Studio Art; ARST
Chinese,Chin; china
Classic Civilization,CCIV; classic; civilization; classics; civilizations; classics civalizations
College of East Asian Studies,CEAS; CEA; college of eastern asian studies; College of East Asian Study
College of Letters,COL; letters
Dance,Danc; Dancing; Dancer
English,Engl; eng; 
Film Studies,FILM; films; films studies; film study; movie; cinema
French,FREN; frenc
French Studies,FRST; french study; 
Italian Studies,Ital; ita; Italian
Japanese,Japn; Jap; Japan; Japanese Studies
Korean,KREA; Korea; Koreans; Korean Studies
Latin,Lat; lati; Latin studies
Less commonly taught languages,lang; lan; less common taught languages; less common languages; less common language; less common taught language; less commonly taught language
Music,musc; mus; musican
Portuguese,port; por; portugese
Russian,Russ; ruski;russia
Russian Literature In english,rule; Russian lit for eng; Russian; rul; Russian lit in english
Spanish,Span; spain; spa
Theater,Thea; acting; act; theaters; 
African American Studies Program,AFAM; fam; African American Studies; Africa America; African America; African Americas; African American Studies Programs
Archaeology,Archaelogy; archaology; ARCP; arch; arc; arp
Center for Jewish Studies,Jewish Studies; Jew; Jews; jewst
Center for the Humanities,CHUM; chuman; chuma; chu; humanities; human; center for the human; center for humanities; center for humanity; center for the humanity; 
Center for the Study of Public Life,CSPL; csp; CFTSOPL; CSOPLCenter for the Study of Public Lives; Center for Studying the public live; Center for Studying the public lifes; center for a study of public life; center study of public life
Environmental Studies Program,ENVS; Environmental Studies . Environment Studies Program; Environment Study Program; 
Feminist Gender and Sexuality Studies Program,FGSS; fgs; FGGSS; Feminist Gender and Sexuality Studies; Feminists; Feminism; Gender; Sex; Sexuality; Gay; LGBT
Latin American Studies Program,LAST; las; Latin America Studies; Latin American Studies; Latin Americans Studies Program; Latin America
Medieval Studies Program,MDST; mds; Medieval Studies; Medieval Study
Quantitative Analysis Center,QAC; Quantitative Analysis; Quant; Quan; Quant Analysis Center 
Russian East European and Eurasian Studies Program,REES; Eurasian; Eurasia; RES; Russian east european studies program; Russian; East European; and Eurasian  Program; Russian; East European; and Eurasian Studies 
Science in Society Program,SISP; Science and Society Program; Science and Society; Science in Society
Writing Center,WRCT; WRC; WRT; Write Center; Writing Program; Writing Studies
